Timestamp,Which of these landscapes would you most enjoy while visiting a National Park?,Which of these climates would you most enjoy while visiting a National Park?,Which of these activities would you most enjoy participating in while visiting a National Park?,"Please list any other features/requirements you would be interested in while visiting a National Park (e.g, family-friendly, group tours, ADA compliance, lodging).","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Acadia]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [American Samoa]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Arches]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Badlands]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Big Bend]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Biscayne]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Black Canyon of the Gunnison]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Bryce Canyon]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Canyonlands]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Capitol Reef]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Carlsbad Caverns]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Channel Islands]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Congaree]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Crater Lake]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Cuyahoga Valley]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Death Valley]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Denali]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Dry Tortugas]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Everglades]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Gates of the Arctic]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Gateway Arch]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Glacier Bay]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Glacier]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Grand Canyon]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Grand Teton]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Great Basin]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Great Sand Dunes]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Great Smoky Mountains]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Guadalupe Mountains]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Haleakalā]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Hawai'i Volcanoes]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Hot Springs]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Indiana Dunes]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Isle Royale]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Joshua Tree]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Katmai]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Kenai Fjords]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Kings Canyon]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Kobuk Valley]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Lake Clark]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Lassen Volcanic]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Mammoth Cave]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Mesa Verde]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Mount Rainier]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [North Cascades]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Olympic]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Petrified Forest]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Pinnacles]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Redwood]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Rocky Mountain]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Saguaro]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Sequoia]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Shenandoah]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Theodore Roosevelt]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Virgin Islands]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Voyageurs]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [White Sands]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Wind Cave]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Wrangell-St. Elias]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Yellowstone]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Yosemite]","Please rate how much you enjoyed each park on a scale of 0.5 (hated) to 5 (loved). Skip any parks you did not visit. Note: depending on browser, you may need to scroll to right to see 5.0. [Zion]"
7/28/2020 22:33:08,Mountains,Hot,"Water Activities (swimming, boating)",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
7/28/2020 22:36:48,Forest,Hot,"Water Activities (swimming, boating)","Crowd-free, family-friendly",,,4,,,,,5,,3.5,,,,4.5,,3.5,,,4.5,,,,,4.5,,,,,,4,5,,,,4,,,,,,,,4,,,,3.5,3.5,,,,,,,,,,,,5,5,5
7/28/2020 22:45:09,Forest,Cold,"Water Activities (swimming, boating)",,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,4,,,,,,,,,4,,,,,,,,,,,,4.5,,,,,,4.5,,
7/28/2020 22:49:17,Forest,Rain,"Land Activities (bouldering, hiking)",,,,,,,,,,,,,,,3.5,,,,,,,,,,4.5,,,,,,,3,3.5,,,,,,,,,2.5,,,,,,,4.5,4.5,,,,,,,,,,,3.5,4.5,
7/28/2020 22:53:59,Forest,Cold,"Leisure Activities (birdwatching, stargazing)",ADA compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2020 22:55:23,Mountains,Snow,"Land Activities (bouldering, hiking)",,,,,,,,,,,,,,,,,,,,,,,,,4.5,5,,,,,,,,,,5,,,4.5,,,,,,,,,,,4.5,,,4.5,,,,,,,,,5,
7/28/2020 23:14:35,Forest,Cold,"Land Activities (bouldering, hiking)",,,,1.5,,,,,1.5,1.5,2,,1,,,,1,,,,,,,,1.5,2,,,,,,,,,,1.5,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2
7/28/2020 23:22:11,Forest,Cold,"Leisure Activities (birdwatching, stargazing)",,,,,,,,,,,,1.5,,,,,1,,,,,,,,,,,,,,,,1.5,,,1.5,,,,,,,,,,,,,,1.5,,,1.5,,,,,,,,,1.5,
7/28/2020 23:28:38,Beach,Hot,"Water Activities (swimming, boating)","Family friendly, lodging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,
7/28/2020 23:33:42,Mountains,Cold,"Land Activities (bouldering, hiking)",,5,5,,4.5,,5,,5,,,5,4.5,,5,,4.5,,5,5,,4.5,,5,4.5,4.5,,,5,3.5,4.5,5,,4,,5,,,5,,,5,4.5,,5,5,5,5,5,5,5,5,5,,,5,,5,,,5,5,5
7/28/2020 23:36:46,Beach,Hot,"Water Activities (swimming, boating)",ADA compliance,,,4,4.5,,,,,,,,,,4.5,,,5,,,,,5,,,,,,,,,4,,,,,,5,,,,,,,4.5,,,,,,,,,,,,,,,,,4.5,
7/28/2020 23:45:15,Forest,Cold,"Leisure Activities (birdwatching, stargazing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2020 23:46:48,Mountains,Hot,"Land Activities (bouldering, hiking)",,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,5
7/28/2020 23:47:49,Mountains,Hot,"Land Activities (bouldering, hiking)",family-friendly,,,,,,,,4.5,,,,,,,,5,,,,,,,,5,,,,,,,,,,,5,,,4.5,,,,,,,,,,,,,4.5,4.5,,,,,,,,4.5,5,5
7/28/2020 23:56:50,Beach,Hot,"Leisure Activities (birdwatching, stargazing)","Pet Friendly, Campfires, Group Tours, Tent Camping, Showers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2020 0:12:56,Mountains,Cold,"Land Activities (bouldering, hiking)",Dog friendly,4,,4,4.5,,,,,,,,,,4.5,,,,,,,,,4,4.5,5,,,,,,,,,,4,,,,,,3.5,,4,,,5,,,4.5,4.5,,,,4,,,,,,4,4.5,
7/29/2020 0:18:22,Mountains,Cold,"Land Activities (bouldering, hiking)",,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4.5,,,,,,,,,,,,,,,,,,,,,,5,,4.5,,,,,,,,,5,4.5
7/29/2020 0:26:04,Desert,Cold,"Leisure Activities (birdwatching, stargazing)",,,,,,,,,5,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5
7/29/2020 0:58:00,Forest,Rain,"Land Activities (bouldering, hiking)",,,,,1.5,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5
7/29/2020 1:12:24,Mountains,Cold,"Extreme Activities (canyoneering, caving)",,,,4,,,,,,,,,,,4,,,5,,3.5,,,,5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,5,,,,5,5,
7/29/2020 1:27:33,Mountains,Hot,"Land Activities (bouldering, hiking)",,,,4,,,,,5,,2.5,,,,,,4,,,3.5,,,,,5,,,,3.5,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,5,4.5
