user_id,nationalpark_id,rating
1,42,4
2,12,5
3,28,5
4,31,1
5,34,2
6,43,4
7,37,5
8,55,5
9,41,5
10,47,5
11,25,2
12,13,5
13,29,5
14,16,1
15,34,1
16,5,3
17,23,1
18,37,4
19,7,1
20,14,5
21,9,1
22,42,5
23,8,4
24,26,4
25,26,5
26,2,4
27,6,5
28,22,4
29,17,3
30,10,4
31,24,1
32,28,1
33,52,3
34,28,2
35,23,5
36,29,1
37,7,5
38,31,4
39,49,3
40,45,5
41,54,1
42,3,5
43,4,4
44,4,3
45,23,1
46,22,3
47,4,4
48,26,5
49,18,3
50,30,3
1,10,5
2,4,3
3,24,2
4,27,2
5,15,1
6,55,2
7,12,5
8,58,5
9,42,3
10,16,5
11,40,4
12,22,1
13,14,5
14,25,5
15,26,1
16,11,3
17,43,5
18,51,1
19,39,5
20,5,1
21,22,4
22,27,1
23,47,4
24,32,3
25,12,3
26,41,5
27,24,3
28,38,4
29,24,4
30,12,1
31,5,2
32,8,1
33,31,2
34,54,3
35,57,5
36,46,4
37,51,1
38,20,2
39,55,2
40,26,5
41,50,1
42,5,2
43,50,3
44,9,3
45,47,2
46,14,1
47,24,3
48,42,3
49,2,4
50,50,4
1,45,2
2,30,1
3,50,1
4,57,1
5,24,4
6,11,3
7,21,1
8,36,2
9,23,3
10,51,1
11,12,2
12,44,1
13,42,5
14,41,4
15,57,3
16,42,2
17,53,4
18,34,2
19,50,1
20,52,3
21,36,2
22,58,4
23,35,1
24,16,2
25,39,5
26,46,2
27,45,2
28,39,2
29,13,2
30,18,3
31,9,5
32,52,1
33,1,3
34,43,1
35,22,3
36,58,3
37,22,3
38,6,2
39,34,3
40,39,4
41,37,1
42,39,5
43,24,3
44,52,1
45,40,5
46,44,3
47,31,1
48,11,4
49,37,4
50,15,4